"Parasitoid","Superfamily","Family","Subfamily","SR","STD","PSV"
"Aleiodes abraxanae",1,1,1,1,1,0
"Aleiodes albitibia",1,1,1,4,1.66666666666667,0.416666666666667
"Aleiodes alternator",2,2,3,15,3.21904761904762,0.804761904761904
"Aleiodes apicalis",1,1,1,1,1,0
"Aleiodes apiculatus",1,1,1,1,1,0
"Aleiodes aterrimus",1,1,1,2,1,0.25
"Aleiodes cantherius",1,1,1,2,1,0.25
"Aleiodes carbonaroides",1,1,1,1,1,0
"Aleiodes circumscriptus",1,1,1,1,1,0
"Aleiodes coxalis",2,2,2,3,4,1
"Aleiodes diarsianae",1,1,1,3,1,0.25
"Aleiodes dissector",1,1,1,2,1,0.25
"Aleiodes esenbeckii",1,1,1,3,1,0.25
"Aleiodes gasterator",1,1,2,2,3,0.75
"Aleiodes grassator",1,1,1,1,1,0
"Aleiodes leptofemur",1,1,6,31,2.62365591397849,0.655913978494624
"Aleiodes modestus",1,1,1,11,1,0.25
"Aleiodes nigriceps",1,1,1,6,1.8,0.45
"Aleiodes nigricornis",1,1,2,5,1.8,0.45
"Aleiodes pallidator",1,1,1,1,1,0
"Aleiodes pictus",2,2,5,14,3.7032967032967,0.925824175824176
"Aleiodes praetor",1,1,1,2,2,0.5
"Aleiodes pulchripes",1,1,1,4,1,0.25
"Aleiodes reticulatus",1,1,1,2,1,0.25
"Aleiodes ruficornis",1,1,3,7,2.47619047619048,0.619047619047619
"Aleiodes rugulosus",1,1,1,6,1.6,0.4
"Aleiodes testaceus",1,1,1,3,2,0.5
"Aleiodes ungularis",1,1,1,1,1,0
"Aleiodes unipunctator",1,1,1,3,1,0.25
